review,sentiment
Ganjar pranowo Prabowo,positive
Kocak,positive
Harus pandai menepatkan diri,positive
Ngeri banget bahasanya,negative
Apapun ceritanya saya sdh gak respek sama pak ganjar.. bukan siapa yang jadi penyebab gagalnya Indonesia jadi tuan rumah.. tapi karena pak.ganjar tidak komitmen dengan apa yang sudah di tanda tanganinya. Sesimpel itu .,positive
ralat om... gubernur jawa tengah  kalau jabar ridwan kamil,positive
buzzer buzzer gigimu,negative
leres,positive
Woi batak kafir najis,negative
aku akan pasang lagi klau GP menyadari,positive
Parah......,negative
Ganteng doang gak bisa bahasa ngapak. Buat apaa?,negative
Pak ganjarpranowo  Bu YaniSunarno  mohon di perhatikan jalan Klaten yang sudah rusak parah.,negative
Asal bunyi.  Yang kecewa,negative
Menjelang 2024 banyak Pejabat menjadi Budak Ormas,negative
Ya tapi kan tandingnya dsini,positive
Taman nasional rusak kok meneng wae yow,negative
Kalo opini pribadi sih gak akan bisa,positive
Satu lg pak... KONSISTEN....,positive
Kenapa dia mau jadi kambing? Hitam lagi kan?,negative
Sudah kudugem..,positive
Krisdayanti,positive
ganjar kena jebakan betmen,negative
Ok,positive
Semoga cepat teratasi dan semakin bijaksana lagi kedepannya.,positive
Begomu ngap,negative
ganjar Yang Dipertuan,negative
Malah ketauan gobloknya fanatik ama ganjarpranowo ...semakin lo bela semakin keras juga penolakannya...tp ini demokrasi ..bicaralah seolah2 lo bener ..padahal bloon...wkwkwkw,negative
Ya enggaklah Tam...lihat point no 5 itu kan usul bodoh..gak beradab,negative
Saya salut sama  yg muda yg mengalah... Tetap konsisten mz gibran. Yg dipegang orang itu omongane...,positive
Wow jokowi,positive
Pembunuh mimpi anak  Bangsa,negative
Yg dari pulo sumatra ke jateng gak ada mudik gratis pak?,positive
Lebih baik pilihan jatuh ke Ganjar Pranowo dari pada ke pemimpin yang didukung FPI dan HTI,positive
Dari pak Koster gak ada penolakan ?,positive
WCU20 ini acara Fifa bang..jadi standar pengamanan yg digunakan standar FiFA world Cup bukan standar Liga Indonesia. Orang Fifa yg berpengalaman akan dampingi pihak pengaman indonesia buat amanin acara ini.,positive
Jelang mudik lebaran 2023,positive
Baru jadi gubernur udah mencla-mencle,negative
Beliau sdg menunjukkan loyalitas nya sbg kader PDIP dan  sdg minta restu ibu Mega biar PDIP mencalonkan dirinya sbg capres,positive
Bukan teman,negative
Sesuai skenario,positive
Menyampaikan kondi jalan yang rusak ke dinas terkait mohon bantuannya agar segera ada perbaikan terimakasih,positive
Keamanan karna fans bola pada tolol sering gebukin orang pecahin kaca bis gulingin mobil belom lagi aparat main gebuk main tembak gas,positive
Drama penolakan Israel U20 benar benar digoreng sehingga menimbulkan banyak masalah,negative
assalamu'alaikum mas gibran yg terhrmt mhn  bantuannya ms tlg smpai kan kedinas trkait trutma pak ganjar pranowo bhwa ada jln rsk di Kartasura perbtsn  colomadu udh bnyk mkn krbn tpi blm ada perbaikan  smga mas gibran mau bntu menyampaikan,positive
ngedabrussd aja...  bp ga minta maaf ke president...,negative
"Halahh.. politikus masih bisa ngeles pasti.. apabila World Beach Games tetap berlangsung dengan atlet Israel di dalamnya, si para politikus utamanya dari Partai banteng akan berargumen bahwa ""Belajar dari kasus Piala DUNIA U20 yg batal, maka kami memisahkan olahraga dan politik..",negative
PSSI salah karena tidak transparan dalam masalah ini akhirnya Timnas dan negara kita yg kena dampak #InvestigasiTempo,negative
Pemimpin itu dilihat dari keputusan-keputusannya.. bukan gimmick-gimmick receh kayak gini,negative
Kalau saya lihat dari wajahnya sulit kemungkinan Pak GP berani menyampaikan apa sebenarnya yang terjadi.,negative
O..ooo...ya ..O..... Ya bongkar,positive
"Emang Ada pernyataan dari FIFA kalo batal nya Piala dunia u20karena ucapan Ganjar Pranowo dn gubenur Bali, kalo saya sih Gk yakin.. Jangan""ada masalh lain yg lebih dari ucapan PK ganjar dn Gub Bali.. Contoh seperti ucapan si ompong Akan buat Keos bandar ketika tim Israel datang",negative
Buzer teriak buzer,negative
Lah sejauh ini salah satu media paling kredible ya Tempo. Jangan karena hal tersebut tidak sesuai dengan hayi nuranimi,positive
Mantap #infestigasiTempo bisa bongkar permasalahan pssi tidak mengkambinghitamkan pak ganjar semuga tidak terjadi hal seperti ini kedepannya..,positive
Top pak Ganjar,positive
yo jelas dari Ketum Partai dong. Kan Presiden juga  kader partai.,positive
Bah pandai kali kau bicara undang2 kalau menyangkut komunitasmu,negative
Banyak kalangan kuciwa gagal menggiring Presiden @jokowi  melanggar UUD 1945 lewat penyelenggaraan WC U20,negative
Berteriak anti Israel namun masih menggunakan medsos yg notabene salah satu kreasi dari para keturunan Israel adalah sebuah kemunafikan. Konsisten saja Pak untuk anti Israel bersama Yahudi nya.  Jangan gunakan medsos mu,negative
Udah jelas2 ditulis tgl 14 Koster nolak Israel duluan,negative
Pak Gibran event ini pengganti Piala Dunia U-20  Buktikan gerak cepat,positive
Makanya spy bs menang si Penies ...fitnah dong pake acara penistaan agama. Begitu kan,negative
Tetap semangat dan tetap konsisten jalankan UUD 1945 dan tetap menjalankan ananah Bung Karno sebagai Bapak Bangsa bahwa kemerdekaan adalah hak segala bangsa dan oleh sebab itu penjajahan harus dimusnahkan karena tidak sesuai dengan keadilan dan kemanusiaan sesuai SDG INDONESIA,positive
Hidup palestina. Ngmg doang sok bijak,positive
Di banding capres yg lain sy masih setia ke pak ganjar coba cari kesalahan pd capres yg lain lebih banyak dari pak ganjar emang dalam hal ini pak ganjar blunder tapi liat sikon yg mungkin berakibat buruk klo di laksanakan,positive
Diskriminatif!!! Ganjar gak pantes dipilih jd pemimpin! Terlalu riskan!,negative
Tapi kedewasaan berpikir juga bukan dipengaruhi juga oleh banyaknya umur manusia. Seperti dewasanya mas @gibran_tweet dalam menyikapi tentang penolakan pak @ganjarpranowo atas team Israel beberapa waktu yg lalu.,positive
Ooooooo gituuuu ...iya aja deeeeeh ...elite berantem... g mikirin dunia sepak bola indonesia...ASU ki,negative
Fifa utk hal hal prinsip ga bs ditawar. Lha kalo permintaan ditolak kenapa pemerintah ga mundur saat itu juga? Knp masih lanjut mau nego sampe detik akhir. Ga perlu investigasi gmn2 klo kayak gini sih.,positive
Tolong infokan ke Ganjar,positive
Sekuat dan sehebat apapun,positive
Kyk gk tahu saja rekam jejak tempo seperti apa... Dan kok msh percaya tempo... Cari tahu donk...siapa 2 di cyrcle tempo..,positive
Mana berani bapak ini membalas dengan argumentasi,positive
Rezeki udah ada yg atur mas,positive
Diketahui,positive
Kan mimpinya jd aparat katanya kemarin,positive
Semua pendukung politisi pasti tidak rasional,negative
Apa2 dituduh buzzer. Ganjar emang SALAH !! Dan saya BELUM DAPET THR. Bobrok statemennya,negative
Sepak bola adalah olahraga bukan politik.  justru harus menunjukkan bahwa adalah bangsa yang Ramah Cinta Damai,positive
Palestina,positive
Pak Jkw sdh jlskan bhw phk2 yg terkait dg Laga U20 sdh Tanda tangan (agreement) artinya dealvdg pelaksanaan event besar itu di Indonesia  Di last minute mncl penolakan dan pembatalan..nalar gk.jika Pemerintah / PSSI terlibat ini itu yg mana itu taruhan nya TRUST NKRI dimata dunia,positive
Njenengan tidak punya prinsip,negative
Adalah penghianat !!!  Mau anda goreng ke kanan Atau  Ke kiri ,negative
pembelaan diri adalah sistem otomatis manusia ketika merasa terpojok,positive
Oh si Omster itu duta besar Hamas utk Indonesia,negative
Melempar batu sembunyi tangan lalu menuduh pak Ganjar sendirian yang salah.,positive
Gini aja kalo lu ngerasa org paling bener/paling pinter kenapa lu ga sekalian ikut ngejabat aja,negative
Aku yg cari ganjar dan koster,positive
Berikutnya,positive
Politik tanpa agama adalah Tiran,positive
Sumur kudu tetep bersih agar tetap migunani.,positive
Bukan masalah cinta arab atau apa lu bikin statement gitu,positive
Ga ada statement nih untuk ini?  Jangan sampai standar ganda loh,positive
Sayangnya tidak ada terjemahan untuk twit ini,positive
Heran sumber bau bangkai kok ditelan dengan nikmat aja,positive
Ganjar Pranowo  menyampaikan duka mendalam atas wafatnya Ketua DPRD Jawa Tengah,positive
utamanya konsistensi menolaknya..mau event nya ttp lanjut atau gk harus berani lantang menolak kyak kmaren..klo gk ya sudah jelas brarti kmaren cuma ada kpentingan tertentu aja.,positive
Ha..Ha..Ha.. Jangan Baca Judul ,positive
Kapan Semarang (Jawa Tengah) dibangun seperti Solo,positive
Sahabat #Jalancantik #JatengGayeng  Pekerjaan Pemeliharaan Rutin Jalan dan Jembatan di Ruas Jalan Balai Pengelolaan Jalan Wilayah Magelang. ,positive
Mohon maaf apa bila ada salah Kata. Saya Mohon Bantuannya Untuk Di respon,positive
Pekerjaan Pemeliharaan Rutin Jalan dan Jembatan di Ruas Jalan Balai Pengelolaan Jalan Wilayah Magelang.,positive
tunggu arahan presiden? berarti konstitusi bisa ditempatkan sekehendak presiden,positive
FIFA memang bodoh,negative
Kambing hitam? Seharusnya dia diam aja gosah statement. Toh udah keputusan pssi.,negative
sdh banyak ditingalkan oleh rakyat.. Kesempatan jadi capres / cawapres semakin minipis...,negative
Bersama untuk membaca,positive
Konstitusi negara tidak memperbolehkan kehadiran mereka di Indonesia sesuai pendapat bung Karno,positive
Mau di calonkan atau Ndak  H. Ganjar P.  Apa urusanmu tulol ..!! Seorang Gubernur Jawa Tengah koc raimu cemooh terus,negative
apakah konstitusi tergantung kondisi politik? atas undangan IPU israel ada disana? bukan juga sama timnas Israel ada disana U20,positive
Fatal euy,negative
Besok lagi  pemimpin macam yang tak bertanggung jawab dan berkhianat jangan diajak pak Jokowi. Percuma politisi sontoloyo yg tak teguh pendirian digadang2 justru akan merugikan kebesaran kita sebagai bangsa,negative
Ahok mantan napi kok jadi idola,negative
Yakin SDH seimbang ...??,positive
gimana ini bapak,positive
bacotin dongg. Iya Deng kan pemimpin boneka cuma manut sama NDORO PUTRI ,negative
Publik juga bakal lupa siapa ganjar pranowo kok.  Lalu banyak yg ambil jalan tengah,positive
 Untung aja Sudah Baca Tempo jadi beritanya ini masih belum transparan kayak masih ada hidden gitu,positive
Ganjar Pranowo Komitmen Kembangkan Ekonomi,positive
Raimu itu Ndak tau diri ..!! Bisa nya mencemooh orang / mencelah orang,negative
bagaimana sikap pemerintah dengan kejuaraan ini?,positive
Banyak belajar ke mas gibran pak,positive
Sudah Baca Tempo sih kemarin,positive
Berdasarkan investigasi majalah tempo seharusnya pihak yg bertanggungjawab dengan gagalnya Indonesia menjadi tua rumah piala dunia u 20 harus menjelaskan dengan sejujur - jujurnya ,positive
Malu maluin orang arab,negative
Assalamualaikum,positive
Masih kesel ? Ngapain uring2an terus ?,negative
terus siapa lagi ya yg kemarin bersuara di sepakbola? Hanya minta keadilan sosial bagi seluruh rakyat indonesia (fans bola). Masa iya berani bersuara hanya di football,positive
Lo yakin GP bakal dicalonkan? Woi cuk..jgn terlalu memuja,negative
Konflik Moeldoko dan demokrat apakah bakal memanas kembali ??setelah AHY menduga Moeldoko Ajukan PK ....  Keknya bakalan rame ini pemilu 2024 Ganjar Pranowo ,positive
Gak bener juga sih kalau u20 karena ganjar,positive
Gubernur Dua periode kejebak? JATENG VISI dia,positive
Lah ganjar aja gak punya logika gak mikir efek sepakbola kedepannya,negative
Kami indonesi Timur Susah Tidak lagi,negative
Boneka ga punya harga diri,negative
Pilih pemimpin negara dari RAKYAT,positive
jangan berlebihan ... Kalo raimu ndak senang ych g usah di coblos pak H. Ganjar P,negative
Pak kpn berangkat ke Palestina gabung dgn Hamas?,positive
Ditunggu statment penolakan world beach pantai dibali 2023 pak jangan tanggung kalau bawa nama konstisusi,negative
